sample_id,buy_quantity,sell_time
7661,1.0,113
7662,0.9,49
7663,0.8833333333333333,98
7664,1.0,24
7665,0.8333333333333334,117
7666,0.8166666666666667,114
7667,1.0,12
7668,1.0,117
7669,0.5,119
7670,1.0,81
7671,1.0,72
7672,1.0,19
7673,1.0,117
7674,1.0,8
7675,1.0,70
7676,1.0,29
7677,1.0,116
7678,1.0,8
7679,1.0,31
7680,1.0,34
7681,1.0,82
7682,1.0,119
7683,1.0,91
7684,1.0,116
7685,0.6083333333333333,119
7686,0.6166666666666667,8
7687,1.0,99
7688,1.0,112
7689,1.0,119
7690,1.0,115
7691,1.0,8
7692,1.0,13
7693,1.0,0
7694,1.0,28
7695,0.6666666666666666,8
7696,1.0,87
7697,1.0,14
7698,1.0,52
7699,0.7833333333333333,119
7700,0.975,62
7701,1.0,105
7702,1.0,117
7703,0.43333333333333335,116
7704,1.0,7
7705,1.0,119
7706,0.9916666666666667,12
7707,1.0,117
7708,1.0,13
7709,1.0,45
7710,0.575,86
7711,1.0,27
7712,1.0,7
7713,1.0,28
7714,1.0,60
7715,1.0,89
7716,1.0,37
7717,1.0,33
7718,1.0,12
7719,1.0,28
7720,1.0,52
7721,1.0,34
7722,0.9416666666666667,0
7723,1.0,31
7724,1.0,10
7725,0.775,119
7726,1.0,40
7727,1.0,23
7728,1.0,0
7729,1.0,85
7730,1.0,80
7731,1.0,118
7732,1.0,0
7733,1.0,3
7734,1.0,20
7735,1.0,89
7736,1.0,3
7737,0.08333333333333333,116
7738,0.725,0
7739,1.0,79
7740,1.0,101
7741,1.0,85
7742,0.8916666666666667,117
7743,1.0,119
7744,1.0,119
7745,1.0,36
7746,1.0,0
7747,1.0,73
7748,1.0,27
7749,1.0,28
7750,1.0,85
7751,1.0,18
7752,1.0,7
7753,0.7916666666666666,82
7754,1.0,20
7755,0.5916666666666667,119
7756,1.0,1
7757,1.0,8
7758,1.0,28
7759,1.0,115
7760,0.7416666666666667,119
7761,1.0,4
7762,0.775,119
7763,0.20833333333333334,119
7764,1.0,119
7765,1.0,99
7766,0.5666666666666667,12
7767,0.7666666666666667,116
7768,1.0,90
7769,1.0,91
7770,1.0,7
7771,0.9916666666666667,86
7772,1.0,69
7773,0.4583333333333333,89
7774,1.0,11
7775,1.0,4
7776,1.0,1
7777,1.0,66
7778,0.8916666666666667,1
7779,1.0,27
7780,1.0,111
7781,1.0,107
7782,0.0,119
7783,1.0,12
7784,1.0,67
7785,1.0,118
7786,1.0,28
7787,1.0,94
7788,1.0,91
7789,1.0,3
7790,0.7083333333333334,90
7791,1.0,88
7792,0.4083333333333333,114
7793,1.0,43
7794,0.7916666666666666,56
7795,1.0,115
7796,1.0,119
7797,1.0,67
7798,0.325,7
7799,0.2833333333333333,99
7800,1.0,23
7801,1.0,0
7802,0.13333333333333333,116
7803,1.0,26
7804,1.0,119
7805,1.0,82
7806,0.5916666666666667,112
7807,0.36666666666666664,79
7808,1.0,115
7809,1.0,119
7810,0.7083333333333334,83
7811,1.0,100
7812,1.0,106
7813,1.0,114
7814,1.0,27
7815,1.0,74
7816,0.5416666666666666,119
7817,1.0,0
7818,1.0,2
7819,1.0,24
7820,1.0,91
7821,1.0,20
7822,1.0,35
7823,1.0,104
7824,0.7583333333333333,93
7825,1.0,14
7826,1.0,73
7827,1.0,20
7828,0.21666666666666667,118
7829,1.0,28
7830,1.0,115
7831,0.9,119
7832,1.0,111
7833,1.0,96
7834,1.0,10
7835,1.0,1
7836,1.0,91
7837,1.0,83
7838,0.5,107
7839,1.0,10
7840,1.0,115
7841,1.0,84
7842,1.0,12
7843,1.0,116
7844,1.0,119
7845,0.9083333333333333,81
7846,1.0,8
7847,1.0,7
7848,0.4666666666666667,119
7849,1.0,30
7850,1.0,99
7851,1.0,119
7852,0.9083333333333333,44
7853,1.0,73
7854,1.0,11
7855,0.39166666666666666,114
7856,1.0,70
7857,1.0,26
7858,0.775,99
7859,1.0,67
7860,1.0,76
7861,1.0,65
7862,1.0,118
7863,1.0,21
7864,0.7916666666666666,89
7865,0.225,119
7866,0.8833333333333333,97
7867,1.0,40
7868,1.0,22
7869,1.0,43
7870,0.9083333333333333,118
7871,1.0,77
7872,0.7416666666666667,118
7873,0.975,113
7874,1.0,85
7875,1.0,85
7876,1.0,6
7877,1.0,114
7878,1.0,55
7879,0.975,24
7880,1.0,61
7881,1.0,1
7882,1.0,51
7883,0.35,115
7884,1.0,60
7885,0.6666666666666666,7
7886,1.0,103
7887,1.0,0
7888,1.0,16
7889,1.0,0
7890,1.0,2
7891,0.44166666666666665,119
7892,1.0,68
7893,1.0,82
7894,0.14166666666666666,119
7895,1.0,116
7896,0.45,7
7897,1.0,118
7898,1.0,100
7899,1.0,16
7900,1.0,90
7901,1.0,2
7902,1.0,73
7903,1.0,111
7904,0.975,74
7905,1.0,17
7906,0.3333333333333333,91
7907,1.0,119
7908,0.0,117
7909,0.075,117
7910,0.625,117
7911,0.8416666666666667,106
7912,1.0,10
7913,1.0,42
7914,1.0,99
7915,1.0,98
7916,0.4666666666666667,119
7917,0.2833333333333333,119
7918,0.15,118
7919,1.0,10
7920,1.0,68
7921,1.0,15
7922,1.0,88
7923,1.0,119
7924,1.0,107
7925,1.0,0
7926,1.0,70
7927,0.925,42
7928,1.0,10
7929,1.0,40
7930,0.39166666666666666,119
7931,1.0,5
7932,1.0,83
7933,1.0,107
7934,1.0,0
7935,1.0,80
7936,1.0,0
7937,1.0,31
7938,1.0,5
7939,1.0,2
7940,1.0,2
7941,0.4666666666666667,88
7942,1.0,11
7943,1.0,5
7944,1.0,20
7945,1.0,16
7946,1.0,26
7947,1.0,1
7948,1.0,27
7949,0.4583333333333333,118
7950,1.0,24
7951,0.38333333333333336,0
7952,1.0,63
7953,1.0,0
7954,1.0,10
7955,1.0,13
7956,1.0,19
7957,1.0,28
7958,1.0,83
7959,1.0,0
7960,1.0,0
7961,1.0,8
7962,1.0,119
7963,1.0,7
7964,0.5416666666666666,80
7965,1.0,0
7966,1.0,101
7967,1.0,39
7968,1.0,91
7969,1.0,44
7970,1.0,96
7971,1.0,119
7972,1.0,0
7973,1.0,1
7974,1.0,9
7975,1.0,115
7976,1.0,74
7977,1.0,25
7978,1.0,82
7979,1.0,13
7980,0.8333333333333334,6
7981,1.0,87
7982,1.0,118
7983,1.0,61
7984,1.0,73
7985,1.0,18
7986,1.0,5
7987,1.0,108
7988,1.0,44
7989,1.0,95
7990,1.0,0
7991,1.0,61
7992,1.0,118
7993,0.9583333333333334,86
7994,1.0,88
7995,1.0,117
7996,1.0,3
7997,1.0,40
7998,1.0,118
7999,1.0,51
8000,0.43333333333333335,118
8001,1.0,40
8002,1.0,41
8003,1.0,12
8004,1.0,31
8005,1.0,27
8006,1.0,103
8007,1.0,52
8008,1.0,104
8009,1.0,82
8010,1.0,117
8011,1.0,34
8012,1.0,119
8013,1.0,13
8014,1.0,0
8015,1.0,0
8016,1.0,5
8017,1.0,118
8018,1.0,117
8019,1.0,27
8020,1.0,115
8021,1.0,119
8022,1.0,115
8023,1.0,86
8024,1.0,4
8025,1.0,75
8026,1.0,59
8027,1.0,19
8028,1.0,0
8029,1.0,119
8030,0.55,119
8031,1.0,108
8032,1.0,40
8033,1.0,12
8034,1.0,12
8035,0.85,117
8036,1.0,69
8037,0.49166666666666664,119
8038,1.0,16
8039,1.0,95
8040,1.0,0
8041,1.0,2
8042,1.0,8
8043,1.0,48
8044,1.0,44
8045,0.4583333333333333,110
8046,1.0,62
8047,1.0,115
8048,0.8416666666666667,57
8049,1.0,58
8050,1.0,106
8051,1.0,1
8052,1.0,113
8053,0.675,117
8054,1.0,0
8055,1.0,20
8056,1.0,119
8057,1.0,36
8058,1.0,21
8059,1.0,82
8060,1.0,87
8061,0.7916666666666666,119
8062,1.0,84
8063,0.23333333333333334,100
8064,1.0,36
8065,1.0,0
8066,1.0,7
8067,1.0,61
8068,1.0,0
8069,1.0,31
8070,1.0,117
8071,1.0,119
8072,1.0,46
8073,1.0,14
8074,1.0,44
8075,1.0,90
8076,1.0,119
8077,0.06666666666666667,119
8078,1.0,19
8079,1.0,41
8080,1.0,11
8081,1.0,0
8082,1.0,115
8083,1.0,0
8084,0.9583333333333334,118
8085,1.0,0
8086,1.0,12
8087,1.0,105
8088,1.0,6
8089,0.9083333333333333,107
8090,1.0,16
8091,1.0,101
8092,1.0,40
8093,1.0,0
8094,1.0,48
8095,1.0,119
8096,1.0,115
8097,1.0,35
8098,1.0,63
8099,1.0,115
8100,1.0,114
8101,1.0,6
8102,1.0,115
8103,1.0,7
8104,1.0,7
8105,1.0,114
8106,1.0,12
8107,1.0,103
8108,1.0,61
8109,1.0,88
8110,1.0,115
8111,1.0,100
8112,1.0,6
8113,1.0,46
8114,1.0,45
8115,1.0,20
8116,0.4083333333333333,119
8117,1.0,46
8118,1.0,2
8119,1.0,64
8120,1.0,10
8121,1.0,12
8122,1.0,11
8123,1.0,5
8124,1.0,1
8125,1.0,0
8126,1.0,39
8127,1.0,34
8128,1.0,44
8129,1.0,119
8130,0.725,10
8131,1.0,0
8132,1.0,39
8133,1.0,106
8134,1.0,96
8135,1.0,106
8136,1.0,0
8137,0.8166666666666667,117
8138,1.0,81
8139,1.0,119
8140,1.0,57
8141,1.0,86
8142,1.0,1
8143,1.0,89
8144,1.0,50
8145,1.0,115
8146,1.0,94
8147,1.0,39
8148,1.0,7
8149,1.0,76
8150,1.0,5
8151,1.0,2
8152,1.0,98
8153,1.0,117
8154,1.0,65
8155,1.0,81
8156,1.0,50
8157,1.0,94
8158,1.0,0
8159,0.8916666666666667,43
8160,0.7083333333333334,115
8161,1.0,93
8162,1.0,0
8163,1.0,106
8164,1.0,22
8165,1.0,12
8166,1.0,69
8167,1.0,11
8168,1.0,103
8169,1.0,0
8170,1.0,115
8171,1.0,16
8172,1.0,116
8173,1.0,19
8174,1.0,117
8175,1.0,13
8176,1.0,27
8177,1.0,20
8178,0.7583333333333333,119
8179,1.0,79
8180,1.0,20
8181,1.0,19
8182,1.0,45
8183,1.0,2
8184,1.0,1
8185,1.0,9
8186,1.0,114
8187,1.0,115
8188,1.0,119
8189,1.0,39
8190,1.0,47
8191,1.0,0
8192,1.0,0
8193,0.48333333333333334,82
8194,1.0,2
8195,1.0,8
